string_field_0,string_field_3,string_field_6,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_45
Other Europe,41310,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
United States of America,41310,,,,,,,,,,,,,,,
Other Asia,<2,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
South America,<2,,,,,,,,,,,,,,,
Russia,41310,,,,,,,,,,,,,,,
Other Europe,41310,,,,,,,,,,,,,,,
Germany,41435,,,,,,,,,,,,,,,
Other Europe,41435,,,,,,,,,,,,,,,
Other Europe,41310,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Other Asia,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
United States of America,11,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,
United States of America,41435,,,,,,,,,,,,,,,
Africa,41310,,,,,,,,,,,,,,,
Other Asia,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
Other Asia,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
India,41310,,,,,,,,,,,,,,,
Australasia,41435,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,
United Kingdom,<2,,,,,,,,,,,,,,,
Other Asia,41435,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
France,41435,,,,,,,,,,,,,,,
United Kingdom,11,,,,,,,,,,,,,,,
United States of America,41435,,,,,,,,,,,,,,,
United Kingdom,41310,,,,,,,,,,,,,,,
Other Asia,<2,,,,,,,,,,,,,,,
United States of America,41310,,,,,,,,,,,,,,,
Germany,11,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
Middle East,,,,,,,,,,,,,,,,
Other Europe,41435,,,,,,,,,,,,,,,
Other Europe,41310,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,
Other Europe,<2,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
Middle East,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,
Other Europe,11,,,,,,,,,,,,,,,
Russia,41310,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,
United Kingdom,41310,,,,,,,,,,,,,,,
Central America,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,
United States of America,41435,,,,,,,,,,,,,,,
Russia,41310,,,,,,,,,,,,,,,
United States of America,41310,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Germany,41310,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
United States of America,<2,,,,,,,,,,,,,,,
Middle East,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Italy,41310,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,
Other Europe,41310,,,,,,,,,,,,,,,
Other Asia,41435,,,,,,,,,,,,,,,
Africa,41435,,,,,,,,,,,,,,,
Australia,41310,,,,,,,,,,,,,,,
Other Europe,41435,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,
Africa,<2,,,,,,,,,,,,,,,
Canada,41310,,,,,,,,,,,,,,,
Germany,11,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,
Africa,41310,,,,,,,,,,,,,,,
Africa,11,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
Africa,41435,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
Africa,,,,,,,,,,,,,,,,
United Kingdom,41435,,,,,,,,,,,,,,,
Other Asia,41435,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Other Europe,41435,,,,,,,,,,,,,,,
Germany,11,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,
Australia,41435,,,,,,,,,,,,,,,
United Kingdom,41310,,,,,,,,,,,,,,,
India,41435,,,,,,,,,,,,,,,
United States of America,41310,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
South America,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
United States of America,41435,Other,Java,,,,Python,,,,C++,C,,,,
Middle East,11,Other,,,,,,,,,C++,C,,,,
Germany,41435,Other,Java,,CSS,PHP,,Ruby,SQL,,C++,C,,,,
United Kingdom,11,Other,Java,JavaScript,CSS,,Python,Ruby,,,,,,,"Scala, Haskell, more",
United States of America,41310,Other,Java,,,,Python,,,,,C,,,,
United Kingdom,11,Other,,,,,Python,,,,,,,,"bash, BASIC",
South America,41435,Other,,,,,,,,,,,,,,
United States of America,41435,Other,,,,,Python,,,,,,,,R,
Canada,<2,Other,Java,JavaScript,CSS,PHP,,,SQL,,C++,C,,,,
United States of America,<2,Other,Java,,,,,,,,C++,C,Perl,,,
United States of America,<2,Other,,,,,,,,,,,,None,,
Middle East,<2,Other,,,,,,,,,,,,,,
United States of America,41435,Other,,,,,,,,,,,,,,
Middle East,11,Other,,,,,,,,,C++,,,,,
Russia,41310,Other,,,,,,,,,,,,,,
United States of America,11,Other,,,CSS,,,Ruby,,C#,,,,,,
United States of America,<2,Other,,,,,,,,,,,,,,
Canada,<2,Other,,,,,,,,,,,,,,
United States of America,11,Other,,,,,,,,,,,,,"VHDL, Verilog",
India,41310,Other,,,,,,,,,C++,C,Perl,,,
Netherlands,41435,Other,,,,PHP,,,SQL,,,,,,"Delphi, LabVIEW",
Italy,11,Other,,,,,Python,,,,,C,,,Haskell,
Other Europe,11,Other,,JavaScript,,PHP,,,,,,,,,Objective-C,
United Kingdom,11,Other,,,CSS,,Python,,,,,C,,,,
Other Europe,41310,Other,,JavaScript,,,,,,,C++,C,,,R,
United Kingdom,11,Other,Java,,,,,,SQL,,,C,Perl,,Objective-C,
United States of America,11,Other,,,,,,,,,,,,,,
India,<2,Other,,JavaScript,CSS,PHP,,,SQL,C#,C++,C,Perl,,Java,
Other Europe,11,Other,,,,,,,,,,,,,Java,
India,<2,Other,,,,,,,,,,,,,,
North America (Other),41435,Student,,,,,,,,,,,,,,
Other Europe,41310,Student,,,,,,,,,,,,,,
Other Asia,<2,Student,Java,,,,,,,,,,,,,
United Kingdom,41310,Student,,JavaScript,CSS,,,Ruby,,,,,,,,
Germany,41435,Student,Java,,,PHP,,,,,C++,C,,,"Haskell, LISP",
Middle East,41435,Student,,,,,,,,,C++,C,,,,
Other Europe,41310,Student,,,,,Python,Ruby,,,C++,C,,,,
United States of America,41310,Student,,,CSS,PHP,Python,,SQL,C#,,,,,,
United States of America,41435,Student,Java,JavaScript,CSS,,,,,,,C,Perl,,Haskell,
Other Europe,11,Student,Java,JavaScript,CSS,PHP,Python,,,,,,,,ActionScript,
United Kingdom,41310,Student,,,,,,,,,C++,,,,,
Canada,<2,Student,,,,,,,,,,,,,,
Middle East,41310,Student,Java,,,,,,,C#,C++,C,Perl,,,
United States of America,41435,Student,,JavaScript,,,Python,,,,,C,,,Objective-C,
United States of America,41310,Student,,,,,,,,,,,,,,
Italy,<2,Student,,,,,,,,,,,,,,
United States of America,<2,Student,,,,PHP,,,,,,,,,Java,
United Kingdom,41310,Student,,JavaScript,,PHP,,,,,C++,,,,,
Middle East,41310,Student,,,,,,,,,,,,,,
Other Europe,41435,Student,,,,,,,,,,,,,,
Germany,11,IT Manager,Java,,,,,,,,,,,,Objective C,
United States of America,11,IT Manager,,,,,,,,,,,,,,
Russia,41435,IT Manager,,,CSS,,,,,,C++,,,,,
United Kingdom,41310,IT Manager,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,
United States of America,41435,Systems Analyst,,,,,,,,,,,,,,
United States of America,11,Systems Analyst,,,,,,,,,,,,,WebFOCUS,
South America,11,Systems Analyst,,JavaScript,CSS,,,,SQL,C#,C++,C,,,,
United States of America,11,Systems Analyst,,,,,,,,,,,,,,
Canada,11,Systems Analyst,,,,,,,SQL,,,C,,,VB.,
Africa,41310,Systems Analyst,,,,,,,,,,,,,,
Other Europe,41310,Server Programmer,Java,,,,,,SQL,,,C,,,,
India,41435,Server Programmer,Java,JavaScript,,,,,SQL,,,,,,,
Middle East,41310,Server Programmer,,,,,,,,C#,C++,,,,,
France,11,Server Programmer,,JavaScript,CSS,,Python,,,C#,C++,C,,,,
United States of America,11,Server Programmer,,,,,,,,,,,,,,
United States of America,11,Server Programmer,Java,,,,Python,,,,C++,,,,,
Other Europe,41310,Server Programmer,,JavaScript,CSS,,Python,,SQL,C#,C++,C,,,,
Middle East,41435,Server Programmer,Java,JavaScript,,,,,SQL,,,,,,,
United Kingdom,41435,Server Programmer,Java,,,,,,SQL,,,,,,,
Middle East,11,Server Programmer,,,,,Python,,,C#,,C,,,,
Canada,41310,Server Programmer,,,,PHP,,,SQL,,,,,,bash,
Other Europe,11,Server Programmer,,,,,Python,,,C#,C++,,Perl,,,
Canada,41435,Server Programmer,,JavaScript,,,,,SQL,C#,,,,,,
Other Europe,11,Server Programmer,,,,,,,SQL,C#,C++,,,,VB,
Canada,11,Server Programmer,,JavaScript,CSS,,,Ruby,SQL,C#,C++,C,,,,
Middle East,11,Server Programmer,Java,JavaScript,CSS,,,,SQL,C#,C++,,,,,
Germany,11,Server Programmer,Java,,,,Python,Ruby,SQL,C#,C++,,,,,
India,41310,Server Programmer,,,,,,,,,,C,Perl,,,
Germany,11,Server Programmer,Java,,,,,,SQL,,,,,,,
United Kingdom,41435,Server Programmer,Java,,,,Python,,,,C++,C,,,R,
Other Europe,41435,Server Programmer,Java,JavaScript,,,Python,,,,,,,,clojure,
Australia,11,Server Programmer,,,,,Python,,SQL,,C++,,,,,
Other Europe,11,Server Programmer,Java,,,,,,SQL,,C++,C,,,,
Canada,11,Server Programmer,,JavaScript,CSS,,Python,,SQL,,C++,C,,,,
United States of America,41435,Server Programmer,,,,,,,,,,,,,,
United States of America,11,Server Programmer,Java,,,,Python,,SQL,,,,,,,
Germany,11,Database Administrator,,,,,,,SQL,,C++,,,,,
Australia,11,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,
United States of America,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,actionscript,
France,41435,Web Application Developer,,JavaScript,,,,,,C#,,,,,,
Other Europe,41310,Web Application Developer,Java,,,,,,,,,,,,,
United States of America,<2,Web Application Developer,,,CSS,PHP,,,SQL,,C++,,,,jQuery,
United States of America,41435,Web Application Developer,,,,,,,,,,,,,,
Netherlands,11,Web Application Developer,Java,JavaScript,,,,,SQL,C#,,,,,,
Other Asia,41310,Web Application Developer,,,,,,,,C#,,,,,,
United States of America,41310,Web Application Developer,,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,,
United States of America,11,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,,,,,,,,
Canada,41310,Web Application Developer,,JavaScript,CSS,PHP,,,,,,,,,,
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,,,,,
Other Europe,41435,Web Application Developer,Java,,CSS,,,Ruby,,C#,C++,,,,,
Other Europe,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
Middle East,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
Australia,11,Web Application Developer,Java,JavaScript,CSS,,,,SQL,,,,,,Scala,
Africa,11,Web Application Developer,,JavaScript,,PHP,,,SQL,C#,,,,,,
India,41435,Web Application Developer,,,,,,,,,,,,,,
United States of America,41310,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,
United States of America,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
United States of America,11,Web Application Developer,,,CSS,,,,SQL,C#,,,,,,
United States of America,11,Web Application Developer,Java,JavaScript,CSS,,Python,Ruby,SQL,C#,,C,,,,
United States of America,11,Web Application Developer,,JavaScript,CSS,PHP,,,,,,,,,,
Australasia,41435,Web Application Developer,Java,JavaScript,CSS,,,,,,,,,,,
United States of America,41310,Web Application Developer,Java,,,,Python,,SQL,C#,C++,C,,,,
Other Europe,41310,Web Application Developer,,,,,,,,C#,,,,,,
Other Europe,41435,Web Application Developer,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,,,,"lisp,scheme,clojure,bash",
United Kingdom,41310,Web Application Developer,,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,,,Haskell,
Other Asia,41310,Web Application Developer,,,,,,,,,,,,,,
United Kingdom,11,Web Application Developer,Java,JavaScript,CSS,PHP,,,,,,,,,,
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
Germany,11,Web Application Developer,,JavaScript,,,,,,C#,,,,,,
Russia,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,
Other Europe,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
Germany,11,Web Application Developer,Java,,,,,,SQL,C#,,,,,,
Australasia,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
Netherlands,41310,Web Application Developer,Java,JavaScript,CSS,PHP,,,,,C++,C,,,Objective C,
United Kingdom,11,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,VB.NET,
Middle East,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,
Middle East,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,C++,C,,,,
Other Europe,41310,Web Application Developer,,,,,,,,,,,,,,
United States of America,41310,Web Application Developer,,,,,,,,,,,,,,
United States of America,11,Web Application Developer,,JavaScript,CSS,PHP,,Ruby,SQL,,,,Perl,,,
Australia,41435,Web Application Developer,,,,,,,,,,,,,,
United States of America,41435,Web Application Developer,,,,,,,,,,,,,,
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,,
United States of America,41310,Web Application Developer,,,CSS,,,,SQL,C#,C++,C,,,,
Australasia,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
United States of America,41310,Web Application Developer,,,,,,,SQL,C#,,,,,,
India,41310,Web Application Developer,,JavaScript,,,Python,,,,,,,,,
United States of America,11,Web Application Developer,Java,JavaScript,,,,,SQL,C#,,,Perl,,,
Canada,11,Web Application Developer,,,,,,,SQL,C#,,,,,vb.net,
United Kingdom,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
United States of America,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,
India,41310,Web Application Developer,Java,,,,,,,,,,,,,
United Kingdom,41435,Web Application Developer,Java,JavaScript,CSS,,,Ruby,,,,,,,,
Germany,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,
Germany,11,Web Application Developer,Java,JavaScript,CSS,,,,SQL,,,,,,"Groovy, Grails",
Netherlands,11,Web Application Developer,,,,,,,SQL,C#,,,,,,
Other Europe,41435,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,,
Middle East,41435,Web Application Developer,,JavaScript,,,,,,C#,,,,,,
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,,C#,,C,,,,
Australia,11,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,,C++,C,,,,
Australia,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
Australasia,41310,Web Application Developer,,,,,,,SQL,C#,,,,,,
Australia,11,Web Application Developer,Java,JavaScript,CSS,,,,SQL,,C++,C,Perl,,groovy,
Australia,41435,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,,
Australia,41310,Web Application Developer,,,CSS,,,,SQL,C#,,,,,VB.NET,
Australia,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,English,
United States of America,41310,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,,
United States of America,11,Web Application Developer,,,,,,,,,,,,,,
United States of America,41435,Web Application Developer,,,,,,,,,,,,,,
United States of America,11,Web Application Developer,,JavaScript,CSS,,,Ruby,SQL,C#,,,,,VB (why the fuck was this not a choice? C# snobs?),
Other Europe,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
United Kingdom,11,Web Application Developer,,,,,,,,,,,,,,
Other Europe,41435,Web Application Developer,,,,,,,,,,,,,,
United States of America,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,
United States of America,41435,Web Application Developer,,,,,,,,,,,,,,
United States of America,11,Web Application Developer,,,CSS,,,,SQL,C#,,,,,,
United States of America,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,
United States of America,11,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,,C++,C,,,,
United States of America,41435,Web Application Developer,Java,,,PHP,,,,,,,,,,
United Kingdom,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
United Kingdom,41310,Web Application Developer,,JavaScript,,,,,,C#,,,,,vb.net,
Other Europe,<2,Web Application Developer,,,CSS,,Python,,SQL,C#,,,,,"XML, XSLT",
United States of America,41435,Web Application Developer,,,,,,,SQL,C#,,,,,,
United States of America,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,C,,,,
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,,Python,,SQL,C#,,,,,,
Germany,41435,Web Application Developer,,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,,,,,,
United States of America,41435,Web Application Developer,,,,,,,,,,,,,,
Other Asia,41310,Web Application Developer,,,,,,,,,,,,,,
United States of America,11,Web Application Developer,,,,,,,,,,,,None,,
United States of America,41310,Web Application Developer,,,,,,,,,,,,,,
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
Other Europe,41435,Web Application Developer,,JavaScript,,,,,,,,,,,Java,
Other Europe,41310,Web Application Developer,,,CSS,PHP,,,SQL,,,,,,,
India,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,.NET,
Other Europe,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,"Java, ActionScript",
Germany,11,Web Application Developer,,,,,,,,,,,,,Java,
Other Asia,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
Africa,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
Australia,<2,Web Application Developer,,JavaScript,,,,,,,,,,,,
Australia,<2,Web Application Developer,,,,,,,,,C++,,,,,
Other Europe,41310,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,"Java, JSP, HTML",
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,Ruby,SQL,C#,,,,,,
Australia,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,Java,
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,
Canada,11,Web Application Developer,,JavaScript,CSS,,,Ruby,SQL,,,C,Perl,,,
United Kingdom,11,Web Application Developer,,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,,,Java,
Middle East,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,C++,,,,,
Middle East,41435,Desktop Application Developer,,,,,,,SQL,C#,,,,,"VB.NET, WPF, Silverlight, Entity-Framework",
United States of America,11,Desktop Application Developer,Java,,,,Python,,,,C++,,,,,
Other Europe,11,Desktop Application Developer,,,,,,,SQL,,,,,,Object Pascal,
Other Europe,41435,Desktop Application Developer,,,,,,,,,,,,,,
South America,11,Desktop Application Developer,,,,,,,SQL,C#,,,,,"Objective-C, GeneXus",
Africa,41435,Desktop Application Developer,,,,,,,SQL,C#,C++,,,,,
United States of America,41310,Desktop Application Developer,,,,,,,,,,,,,,
Germany,41310,Desktop Application Developer,Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,
United States of America,11,Desktop Application Developer,,,,,,,SQL,C#,,,,,,
Middle East,41435,Desktop Application Developer,,,,,,,SQL,C#,C++,,,,PowerBuilder,
India,41435,Desktop Application Developer,Java,,,,,,,C#,C++,C,,,,
India,41310,Desktop Application Developer,,JavaScript,,,,,SQL,C#,,,,,,
North America (Other),41310,Desktop Application Developer,,,,,,,,,,,,,,
United States of America,11,Desktop Application Developer,,,,,,,SQL,C#,C++,,,,,
Other Europe,11,Desktop Application Developer,Java,,,,,,,C#,C++,,,,Nemerle,
United Kingdom,11,Desktop Application Developer,Java,,,,,,SQL,C#,,,,,,
United States of America,41435,Desktop Application Developer,,,,,,,,,C++,C,Perl,,,
Canada,41435,Desktop Application Developer,,JavaScript,CSS,,Python,,SQL,C#,C++,C,,,,
Canada,41435,Desktop Application Developer,Java,,,,,,SQL,C#,,,,,,
United Kingdom,11,Desktop Application Developer,,,,,,,,,,,,,vb.net,
Other Europe,41310,Desktop Application Developer,Java,,,,,,,,,,,,,
Other Europe,11,Desktop Application Developer,,,,,Python,,,,C++,,,,Delphi,
Other Europe,41435,Desktop Application Developer,,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,,,,
Australasia,11,Desktop Application Developer,,,,,,,SQL,C#,,,,,,
Other Europe,11,Desktop Application Developer,Java,,,,Python,Ruby,SQL,,,,,,,
Canada,41310,Desktop Application Developer,,,,,,,SQL,C#,,,,,"VB.NET, VB6",
United States of America,41435,Desktop Application Developer,,,,,,,,C#,C++,C,,,,
Other Europe,11,Desktop Application Developer,,,,,,Ruby,,,,,,,"Delphi, XSLT, Prolog",
Australasia,11,Desktop Application Developer,,,,,,,,,,,,,,
United Kingdom,11,Desktop Application Developer,,,,,,,SQL,,,,,,,
Other Europe,41435,Desktop Application Developer,,,,,,,,C#,,,,,Delphi,
United States of America,41435,Desktop Application Developer,,,,,,,,,,,,,,
Canada,41435,Desktop Application Developer,,,,,,,,,,,,,,
United States of America,11,Desktop Application Developer,,,,,,,SQL,,,,,,VB.Net,
United States of America,41310,Desktop Application Developer,Java,,,PHP,,,SQL,,C++,C,,,,
United States of America,11,Desktop Application Developer,,,,,,,SQL,,,,,,,
United States of America,41435,Desktop Application Developer,,,,,,,,,,,,,,
France,<2,Desktop Application Developer,,,CSS,,Python,,,C#,,,,,,
United States of America,11,Desktop Application Developer,,,,,,,SQL,,,,,,Java,
United Kingdom,41310,Desktop Application Developer,,JavaScript,CSS,,Python,,SQL,C#,C++,,,,,
Canada,41310,Desktop Application Developer,,,,,,,,,,,,,,
Other Asia,41435,Desktop Application Developer,,,,,,,,,C++,,,,Java,
Other Europe,41435,Desktop Application Developer,,,,,Python,,SQL,C#,,,,,,
United States of America,41435,Desktop Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,
Other Asia,11,Desktop Application Developer,,JavaScript,,,Python,,,,C++,C,Perl,,,
Other Europe,41310,Embedded Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,"vb.net, bash scripting",
Other Asia,11,Embedded Application Developer,Java,,CSS,PHP,,,,,C++,C,,,x86 assembler OO-pascal,
United States of America,11,Embedded Application Developer,,,,,,,,,,,,,,
Russia,41310,Embedded Application Developer,Java,,,,Python,Ruby,SQL,C#,,,,,Erlang,
United States of America,11,Embedded Application Developer,Java,,,,Python,,,,C++,C,,,,
Other Europe,41435,Embedded Application Developer,Java,,,,Python,,,,C++,C,,,,
Germany,11,Embedded Application Developer,,,,,,,,C#,C++,C,,,,
United States of America,11,Embedded Application Developer,,,,,Python,,,C#,C++,C,,,,
United States of America,11,Embedded Application Developer,,,,,,,,,,,,,,
United States of America,41310,Embedded Application Developer,,,,,,,,C#,C++,,,,Java,
Other Europe,41435,IT Staff / System Administrator,,,,,,,,,,,Perl,,,
United Kingdom,11,IT Staff / System Administrator,,,,,,,,,,,,None,,
Other Europe,41435,IT Staff / System Administrator,Java,JavaScript,CSS,PHP,,Ruby,SQL,C#,,C,,,,
United States of America,11,IT Staff / System Administrator,,,,,,,,,,,,,Vb,
United States of America,11,IT Staff / System Administrator,,,,,,,,,,,Perl,,,
Other Europe,41310,IT Staff / System Administrator,,,,,,,,,,,,,,
Germany,11,IT Staff / System Administrator,,,,,Python,,,,C++,C,Perl,,,
