string_field_0,string_field_4,string_field_5,string_field_11,string_field_12,string_field_13,string_field_14,string_field_15,string_field_16,string_field_17,string_field_18,string_field_19,string_field_20,string_field_21,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50
N/A,6 - 10 years,System administrator,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,,,,,,
United Kingdom,11+ years,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortran
United States,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,SQL,,,,,,PostGIS
Sweden,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,
Brazil,6 - 10 years,Back-end web developer,,,,,,,,,,,,Go,,,iOS,,,,,,,Objective-C,,PHP,Python,,,,,,,,,,,,,,,
Romania,11+ years,Back-end web developer,,,,C#,,,,,,,,,,,,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
United States,1 - 2 years,Back-end web developer,,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
Canada,1 - 2 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,
United Kingdom,2 - 5 years,Desktop developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
France,2 - 5 years,Developer with a statistics or mathematics background,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Poland,6 - 10 years,DevOps,,,,,,,,,,,,,,,,Java,,LAMP,,,,,Perl,,Python,,,,,,,,,,,,,,,
United States,11+ years,Enterprise level services developer,C,C++,C++11,C#,,CoffeeScript,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,LAMP,,MongoDB,Node.js,,,,Python,R,,Ruby,,,,Sharepoint,,SQL,SQL Server,,,,,
Brazil,11+ years,"Executive (VP of Eng., CTO, CIO, etc.)",,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,,,Visual Basic,,,
Peru,6 - 10 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Sweden,6 - 10 years,Full-stack web developer,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,Java,JavaScript,,Matlab,MongoDB,Node.js,Objective-C,,PHP,Python,,,,,,,,,,,,,,,
United States,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,Ruby,,,,,,,,,,,,
Finland,2 - 5 years,Full-stack web developer,,,,,,,,Clojure,,,,,,,,Java,JavaScript,,,MongoDB,Node.js,,,PHP,,,,Ruby,,,,,,SQL,,,,,Wordpress,
Germany,1 - 2 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,Visual Basic,,,
Romania,11+ years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,Ruby,,,,,,SQL,SQL Server,,,,,
Sweden,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,
Brazil,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
Germany,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,
Germany,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,
Romania,6 - 10 years,Mobile developer - Android,,,,,,,,,,,,,,,,Java,,,,,Node.js,,,,,,Redis,Ruby,,,,,,SQL,,,,,,
India,2 - 5 years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
Germany,1 - 2 years,Product manager,C,C++,,,,,,,,,,,,,,Java,JavaScript,,Matlab,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,
New Zealand,1 - 2 years,Student,C,,,C#,,,,,,,,,,Haskell,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
United States,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,StreamBase
Canada,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Germany,2 - 5 years,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,,,,,,
Romania,11+ years,Designer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,
United Kingdom,2 - 5 years,Desktop developer,C,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,11+ years,Desktop developer,,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,Unity
France,6 - 10 years,Developer with a statistics or mathematics background,C,C++,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
United States,11+ years,Developer with a statistics or mathematics background,,C++,,,,,,,,,,,,,,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,Enterprise level services developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,11+ years,"Executive (VP of Eng., CTO, CIO, etc.)",C,,C++11,,,,,,,,,Go,,,,Java,,,,,Node.js,,,PHP,Python,R,,,Rust,,,,,SQL,,,,,,
United States,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
Australia,1 - 2 years,Front-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
Ireland {Republic},2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,Wordpress,
United Kingdom,11+ years,Front-end web developer,,,,,,,,,,,,,,,iOS,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,AS3
Belgium,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,
United Kingdom,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,LAMP,,MongoDB,,,,PHP,,,,,,,,Sharepoint,,SQL,SQL Server,,,,Wordpress,
Spain,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2 - 5 years,Full-stack web developer,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,,MongoDB,Node.js,,,,Python,,Redis,,,,,,,SQL,,,,,Wordpress,elasticsearch
France,2 - 5 years,Full-stack web developer,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
United States,11+ years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Spain,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,MongoDB,,,,,,,,,,,,,,,,,,,,
United States,Less than 1 year,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,
Israel,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United States,2 - 5 years,Graphics programmer,,C++,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
United States,2 - 5 years,Product manager,C,,C++11,C#,,CoffeeScript,,,"Cloud (AWS, GAE, Azure, etc.)",,,Go,,,,,JavaScript,,,,Node.js,,,,Python,,,Ruby,,,,,,,,,,,,
Germany,6 - 10 years,Student,C,C++,C++11,,,,,,,,,,,,,Java,,,,,,,,,Python,R,,,,,,,,SQL,,,,,,
United States,Less than 1 year,Student,,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,2 - 5 years,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,,,,,,,,,Python,,,,,,,,,SQL,,,,,,"SQF (Not a typo, see ""Arma"")"
United States,2 - 5 years,,,C++,C++11,C#,,,,,,,,,,,iOS,,,,,MongoDB,,Objective-C,,,,,,,,,,,,,,,,,,ActionScript
Germany,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,Java EE
Italy,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,
France,6 - 10 years,Back-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,Windows Phone,,
Belgium,11+ years,Desktop developer,,,,C#,,,,,,,,,,,iOS,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Germany,11+ years,Desktop developer,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Canada,2 - 5 years,Developer with a statistics or mathematics background,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,Visual Basic,,,
Germany,11+ years,Enterprise level services developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,Groovy
United Kingdom,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,,
United States,11+ years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,Visual Basic,,Wordpress,
Spain,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
United States,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,SQL Server,,,,,
New Zealand,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,Node.js,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
Austria,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,Scala,,,,,,,,,
Colombia,6 - 10 years,Full-stack web developer,,C++,,,,,Cordova,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,Matlab,MongoDB,Node.js,,,,Python,R,,,,,,,,,,,,,,
Denmark,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Thailand,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,,Python,,Redis,,,,,,,SQL,,,,,,
United Kingdom,11+ years,Full-stack web developer,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
China,11+ years,Machine learning developer,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,Mobile developer,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
Sweden,2 - 5 years,Mobile developer - Android,,,,,,,Cordova,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,6 - 10 years,Student,C,C++,,,,,,,,,,,,,iOS,Java,,,Matlab,,,Objective-C,,,,,,,,,,,,,,,,,,
United Kingdom,6 - 10 years,,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Ukraine,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,
United States,1 - 2 years,Data scientist,,C++,,,,,Cordova,,,,,,,,iOS,Java,JavaScript,LAMP,Matlab,,,Objective-C,,,Python,R,,,,,,,,SQL,,,,,,
Italy,,Desktop developer,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Austria,6 - 10 years,Desktop developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United Kingdom,2 - 5 years,Desktop developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Mexico,6 - 10 years,Desktop developer,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
N/A,6 - 10 years,Developer with a statistics or mathematics background,C,,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,Fortran
India,1 - 2 years,Developer with a statistics or mathematics background,,,,C#,,,,,,,,,,,,,,,,,Node.js,,,,,,,,,,,,,,SQL Server,,,Windows Phone,,
Netherlands,2 - 5 years,DevOps,C,,,,,,,,,,,Go,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,"Asterisk, Django, Emacs Lisp"
United States,2 - 5 years,Enterprise level services developer,,,,C#,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,SQL,SQL Server,,,,,
United States,6 - 10 years,Front-end web developer,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,,,,PHP,,,,,,,,Sharepoint,,SQL,SQL Server,,Visual Basic,Windows Phone,Wordpress,
Australia,1 - 2 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,Wordpress,
Portugal,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,Perl,,,,Redis,,,,,,,SQL,,,,,,
United States,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,
Lithuania,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,Redis,,,,,,,SQL,,,,,,
Mexico,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
New Zealand,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Germany,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,PHP,,,Redis,,,,,,,,,,,,,
Germany,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,Sharepoint,,SQL,SQL Server,,Visual Basic,,,
India,Less than 1 year,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2 - 5 years,Full-stack web developer,,C++,,,,CoffeeScript,,,"Cloud (AWS, GAE, Azure, etc.)",Dart,,,,,,Java,JavaScript,LAMP,,MongoDB,Node.js,,,PHP,,,Redis,,,,,,,SQL,SQL Server,,,,,
United States,6 - 10 years,Full-stack web developer,,,,C#,,,Cordova,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,Wordpress,
United Kingdom,6 - 10 years,Full-stack web developer,,,,,,,,,,,,Go,,,,Java,JavaScript,LAMP,,,Node.js,,,PHP,,,,,,,,,,,,,,,,
Denmark,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,,,,,,,,,,SQL,SQL Server,,,,,KnockoutJS
United States,6 - 10 years,Mobile developer - Android,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2 - 5 years,Student,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
India,,Student,C,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Canada,11+ years,System administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,,,,,,MySQL
Netherlands,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,,,,,,,
Austria,6 - 10 years,Back-end web developer,,,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,JavaScript,,,MongoDB,,,,,Python,,,,,,,,,,,,,,,
Brazil,6 - 10 years,Desktop developer,C,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Sweden,1 - 2 years,Desktop developer,,,C++11,C#,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
New Zealand,2 - 5 years,Desktop developer,,C++,C++11,C#,,,,,,,,,,,,,JavaScript,,,,Node.js,Objective-C,,,,,,,,,,,,,,Swift,,,,
United Kingdom,11+ years,Desktop developer,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2 - 5 years,Developer with a statistics or mathematics background,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,Embedded application developer,C,C++,,,,,,,,,,,,,,,JavaScript,,,MongoDB,,,,,Python,,,,,,,,,,,,,,,
Germany,2 - 5 years,Full-stack web developer,,C++,C++11,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,Ruby,,,,,,,,,,,,
Russian Federation,6 - 10 years,Full-stack web developer,,,,,,,Cordova,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,Redis,,,,Scala,,,SQL,SQL Server,,,,,
Australia,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,Sharepoint,,,SQL Server,,Visual Basic,,,
Germany,11+ years,Full-stack web developer,,,,,,,,,,,,,,,iOS,Java,JavaScript,LAMP,,,Node.js,Objective-C,,PHP,,,,,,,,,,SQL,,Swift,,,Wordpress,
United Kingdom,6 - 10 years,Full-stack web developer,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,
Panama,2 - 5 years,Full-stack web developer,,C++,C++11,C#,,,,Clojure,,,,Go,,,,,JavaScript,,,,Node.js,,,PHP,Python,,,,,,,,,SQL,SQL Server,,,,,
Austria,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,Apache Flex
Brazil,6 - 10 years,Full-stack web developer,,,,C#,,,Cordova,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,Meteor (JS)
France,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,Scala,,,SQL,,,,,,
Saudi Arabia,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
Australia,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,MongoDB,Node.js,Objective-C,Perl,PHP,Python,,,,,,,,,SQL,,,,,,
Ukraine,11+ years,Full-stack web developer,,,,,,,,,,,,,Hadoop,,,Java,JavaScript,,,MongoDB,Node.js,,,PHP,,,Redis,,Rust,,Scala,,,SQL,,Swift,,,,
Venezuela,2 - 5 years,Full-stack web developer,,,,,,,Cordova,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,
Latvia,6 - 10 years,Mobile developer,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,
United Kingdom,2 - 5 years,Mobile developer - Android,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,,,,,,,,,,,,,,,Salesforce,,,,SQL,SQL Server,,Visual Basic,,,
United States,1 - 2 years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,Swift,,,,
Brazil,2 - 5 years,Mobile developer - Windows Phone,C,C++,C++11,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,Windows Phone,,
United Kingdom,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,SQL Server,,,,,
United States,2 - 5 years,Back-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,SQL,SQL Server,,,,,
Uruguay,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Less than 1 year,Desktop developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,6 - 10 years,Desktop developer,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2 - 5 years,Desktop developer,,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,6 - 10 years,Desktop developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,Visual Basic,,,
