string_field_0,string_field_5,string_field_6,string_field_7,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_51,string_field_52,string_field_53
Canada,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,
Hong Kong,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,
Macedonia [FYROM],,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,
Hong Kong,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
United Kingdom,6/10/2014,Other,Rather not say,,,,,,,,,,,,
United States,<2,Other,Student / Unemployed,,,,,,,,,,,,
United Kingdom,11,Other,Rather not say,,,,,,,,,,,,
Israel,2/5/2014,Other,,,,,,,,,,,,,
United States,11,Other,">$140,000",,C++,,,,,,,,,,
Canada,11,Other,"$60,000 - $80,000",,C++,,,,,,,Python,,,
South Korea,11,Other,Rather not say,C,C++,,,,,,PHP,,,,
United States,6/10/2014,Other,,,,,,,,,,,,,
Malaysia,2/5/2014,Other,">$140,000",,,,,,,,,,,,
United States,11,Other,,,,,,,,,,,,,
Poland,2/5/2014,Other,"$20,000 - $40,000",,,,,,,,,,,,
Spain,<2,Other,Rather not say,C,,,Java,,,,,,,,
United Kingdom,6/10/2014,Other,Rather not say,,,,,,,,,,,,
United Kingdom,6/10/2014,Other,"$120,000 - $140,000",C,,,Java,,,,,,,,
United States,6/10/2014,Other,"$40,000 - $60,000",,,,,,,,,,,,
Estonia,2/5/2014,Other,Student / Unemployed,,,,,,,,,,,,
Australia,11,Other,Student / Unemployed,,,,,,,,,,,,
United States,<2,Other,"$60,000 - $80,000",,,,,,,,,,,,R
Algeria,<2,Other,"<$20,000",,,,,,,,,,,,
New Zealand,6/10/2014,Other,"$60,000 - $80,000",,,,,,,,,,,,
Hong Kong,11,Other,"$120,000 - $140,000",,,,,,,,,,,,
United States,2/5/2014,Other,"$80,000 - $100,000",,,,,,,,,,,,
United States,2/5/2014,Other,Rather not say,,,,,,,,,,,,
Canada,2/5/2014,Other,"$60,000 - $80,000",,,,,,,,,,,,
Russia,2/5/2014,Other,Student / Unemployed,,,,,,,,,,,,
France,6/10/2014,Other,Student / Unemployed,,,,,,,,,,,,
United Kingdom,11,Other,"$80,000 - $100,000",,,,,JavaScript,,,PHP,,,SQL,VB
Canada,2/5/2014,Other,Rather not say,,,,,,,,,,,,
United States,6/10/2014,Other,"$80,000 - $100,000",,,,,,,Objective-C,,,,,
Spain,6/10/2014,Other,"$20,000 - $40,000",,,,,,,,,,,,
United Kingdom,11,Other,"$80,000 - $100,000",,,,,,,,,,,,Fortran
United Kingdom,11,Other,"$40,000 - $60,000",,,,,,,,,,,,
United States,11,Other,Rather not say,,,,,,,,,,,,
Italy,2/5/2014,Other,"<$20,000",,,,,,,,,,,,
Spain,<2,Other,Rather not say,,,,,,,,,,,,
India,2/5/2014,Other,"<$20,000",,,,Java,,,,,Python,,,
China,2/5/2014,Other,Student / Unemployed,,,,,,,,,,,,
Switzerland,11,Other,"$60,000 - $80,000",,C++,C#,Java,,,,,,,,
United Kingdom,6/10/2014,Other,Student / Unemployed,,,,Java,,,,,,,,
United States,2/5/2014,Other,Rather not say,,,,,,,,,,,,
United States,<2,Other,"<$20,000",,,,,,,,,,,,
United Arab Emirates,6/10/2014,Other,"$60,000 - $80,000",,,,,,,,,,,,
United States,11,Other,"$120,000 - $140,000",,,,,,,,,,,,
United States,11,Other,"$80,000 - $100,000",,,,,,,,,,,,
Algeria,<2,Other,Student / Unemployed,,,,,,,,,,,,
Germany,6/10/2014,Other,Rather not say,,,,,,,,,,,,
United States,11,Other,Rather not say,,,,,,,,,,,,
India,<2,Other,,,,,,,,,,,,,
India,<2,Other,Rather not say,,,,,,,,,,,,
Romania,<2,Other,Student / Unemployed,,,,,,,,,,,,
Australia,11,Other,"$60,000 - $80,000",,,,,,,,,,,,
United States,6/10/2014,Other,"<$20,000",,,,,,,,,,,,
Algeria,2/5/2014,Other,Student / Unemployed,,,,,,,,,,,,
Israel,2/5/2014,Other,Student / Unemployed,,,,,,,,,,,,
United States,11,Other,"$120,000 - $140,000",,,,,,,,,Python,,,
United States,2/5/2014,Other,"$20,000 - $40,000",,,,,,,,,,,,
United Kingdom,11,Other,"$80,000 - $100,000",,,,,,,,,,,,
United Kingdom,2/5/2014,Other,Rather not say,,,,,,,,,,,,
Romania,<2,Other,Student / Unemployed,,,,,,,,,,,,
Ireland,2/5/2014,Other,Student / Unemployed,,,,,,,,,,,,
Netherlands,11,Other,,,,,,,,,,,,,
Taiwan,11,Other,Student / Unemployed,,,,,,,,,,,,
Australia,2/5/2014,Other,">$140,000",,,,,,,,,,,,
United States,11,Other,"$80,000 - $100,000",,,,,,,,,,,,
Brazil,2/5/2014,Other,"<$20,000",,,,,,,,,,,,
United States,6/10/2014,Other,Rather not say,,,,,,,,,,,,
Romania,<2,Other,Student / Unemployed,,,,,,,,,,,,
United Kingdom,6/10/2014,Other,"$40,000 - $60,000",,,,,,,,,,,,
United States,11,Other,Rather not say,,,,,,,,,,,,
France,<2,Other,Student / Unemployed,,,,,,,,,,,,
Spain,11,Other,"$40,000 - $60,000",,,,,,,,,,,,
Germany,6/10/2014,Other,Student / Unemployed,,,,,,,,,,,,
Turkey,2/5/2014,Other,"$20,000 - $40,000",,,,,,,,,,,,
United States,2/5/2014,Other,Rather not say,,,,,,,,,,,SQL,"SAS, Stata"
United Kingdom,11,Other,"$20,000 - $40,000",,,,,,,,,,,,
United States,<2,Other,,,,,,,,,,,,,
Hungary,11,Other,Rather not say,,,,,,,,,,,,
United States,11,Other,"$120,000 - $140,000",,,,,,,,,,,,
Algeria,<2,Other,"<$20,000",,,,,,,,,,,,
Belgium,2/5/2014,Other,Rather not say,,,,,,,,,,,,
United States,11,Other,Rather not say,,,,,,,,,,,,
Germany,2/5/2014,Other,"$60,000 - $80,000",,,,,,,,,,,,
United States,2/5/2014,Other,"$60,000 - $80,000",,,,,,,,,Python,,SQL,R
Serbia,11,Other,Rather not say,,,,,,,,,,,,
United States,<2,Other,Rather not say,,,,,,,,,,,,
United States,2/5/2014,Other,Rather not say,,,,,,,,,,,,Adobe
United States,<2,Other,Student / Unemployed,,,,,,,,,,,,
India,11,Other,,,,,,,,,,,,,
United States,<2,Other,Student / Unemployed,,,,,,,,,,,,
Germany,6/10/2014,Other,Rather not say,,,,Java,,,,,Python,,,
Ecuador,<2,Other,Rather not say,,,,,,,,,,,,j
Cambodia,11,Other,Student / Unemployed,,,,,,,,,,,,
United States,6/10/2014,Other,">$140,000",,,,,,,,,,,,
India,<2,Other,Rather not say,,,,Java,JavaScript,,,,,,SQL,
Spain,11,Other,"<$20,000",,,,,,,,,,,,
India,2/5/2014,Other,,,,,,,,,,,,,
Germany,11,Other,Rather not say,,,,,,,,,,,,
India,6/10/2014,Other,,,,,,,,,,,,,
United States,<2,Other,Rather not say,,,,,,,,,,,,
Norway,11,Other,Rather not say,,,,,,,,,,,,
United States,2/5/2014,Other,"$60,000 - $80,000",,C++,C#,,,,Objective-C,,,,,
United States,2/5/2014,Other,"$80,000 - $100,000",,,,,,,,,Python,,,
China,2/5/2014,Other,"<$20,000",C,C++,,,,,,,,,,LISP
United States,2/5/2014,Other,"$40,000 - $60,000",,,,,,,,,,,SQL,wix
United States,2/5/2014,Other,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,
United Kingdom,<2,Other,"$20,000 - $40,000",,,,,,,,,,,,"R, Matlab, Mathematica"
United States,11,Other,">$140,000",,,,,,,Objective-C,,,,,
Singapore,11,Other,"$100,000 - $120,000",,,,,,,,,,,SQL,
United States,2/5/2014,Other,"$80,000 - $100,000",C,,,,,,,,,,,"Perl, ARM"
United Kingdom,6/10/2014,Other,Rather not say,C,,,,JavaScript,,,,,,,
Israel,2/5/2014,Other,Student / Unemployed,C,C++,,,,,,,,,,
United States,11,Other,Rather not say,C,C++,,Java,JavaScript,,,,,,,
Spain,11,Other,Rather not say,,,,Java,JavaScript,,Objective-C,,Python,,SQL,
Turkey,<2,Other,"$100,000 - $120,000",,,C#,,,,,,,,,
United Kingdom,6/10/2014,Other,Student / Unemployed,,,,Java,,,,,Python,,,
United Kingdom,<2,Other,"$40,000 - $60,000",,,C#,,,,,,,,,
Taiwan,<2,Other,Rather not say,,,,Java,,,,,,,,JSF
India,6/10/2014,Other,Rather not say,,,,,,,,,,,,Scripting
Poland,2/5/2014,Other,"<$20,000",C,C++,,,,,,,,,,"perl, bash"
United States,<2,Other,Student / Unemployed,,,,,,,,,Python,,,
India,<2,Other,Student / Unemployed,,,,,,,,,,,,livecode
Greece,6/10/2014,Other,"<$20,000",,,,,JavaScript,,,PHP,Python,,SQL,Angular.js
India,2/5/2014,Other,"<$20,000",,,,,,,,,,,,"SystemVerilog, Verilog"
United Kingdom,11,Other,">$140,000",,,,,,,,,,,,
South Africa,<2,Other,,,,,,JavaScript,,,PHP,Python,,,
United States,6/10/2014,Other,"$60,000 - $80,000",,,,,JavaScript,,,,Python,,SQL,
Australia,11,Other,"$100,000 - $120,000",,,,,,,,,,,SQL,
United States,<2,Other,"$60,000 - $80,000",,,,Java,JavaScript,,,PHP,,Ruby,SQL,
United Kingdom,2/5/2014,Other,"$40,000 - $60,000",,,C#,Java,,,,,,,SQL,VB.NET
United States,6/10/2014,Other,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,"PowerShell, zsh"
Norway,2/5/2014,Other,"$100,000 - $120,000",,,,,,,,PHP,,,,
United States,<2,Other,Rather not say,,,,,,,,,,,SQL,
United States,6/10/2014,Other,"$40,000 - $60,000",,C++,,Java,,,,,Python,,SQL,
United States,11,Other,"$120,000 - $140,000",,C++,,Java,,,,,,,,XQuery
United Kingdom,11,Other,"<$20,000",,,,Java,,,,,,,,"R, Octave"
United States,2/5/2014,Other,,C,,,,,,,,Python,,,
Brazil,2/5/2014,Other,"<$20,000",,,,Java,,,,PHP,,,SQL,
India,<2,Other,"<$20,000",C,,,,,,,,,,,
United States,<2,Other,"$20,000 - $40,000",,,C#,,JavaScript,,,PHP,,,SQL,
Brazil,2/5/2014,Other,"<$20,000",,,,,,,,,,,SQL,
United States,<2,Other,"$40,000 - $60,000",,,,,,,,,,,SQL,VBA
United States,6/10/2014,Other,"$60,000 - $80,000",,,C#,,,,,,Python,,SQL,
Sweden,2/5/2014,Other,Student / Unemployed,,C++,,,,,,,Python,,,
India,2/5/2014,Other,"$60,000 - $80,000",,,C#,,,,,,,,SQL,
Slovakia,<2,Other,"<$20,000",C,,,,,,,,,,,autoit
India,2/5/2014,Other,"$20,000 - $40,000",,,C#,Java,JavaScript,,,PHP,,,SQL,
United States,11,Other,"$120,000 - $140,000",,,,,,,,,Python,,,"R, Matlab"
Estonia,<2,Other,,,,,,JavaScript,,,PHP,,,SQL,
United States,<2,Other,Rather not say,,,,,,,Objective-C,,,,,
United Kingdom,2/5/2014,Other,Rather not say,C,,,Java,JavaScript,,Objective-C,PHP,,,SQL,"jQuery,html"
Norway,2/5/2014,Other,Student / Unemployed,,,C#,Java,JavaScript,,,,,,,"HTML, My own language"
United States,2/5/2014,Other,"$40,000 - $60,000",,,,,,,,,,,SQL,SAS
Indonesia,<2,Other,Rather not say,,,,,JavaScript,,,PHP,,,SQL,
United States,<2,Other,"$40,000 - $60,000",,,,,,,,,Python,,,VBA
United States,11,Other,"$60,000 - $80,000",,,,,JavaScript,,,PHP,,,,
Netherlands,11,Other,"$60,000 - $80,000",,,,,,,,,Python,,,glsl
United States,2/5/2014,Other,"$80,000 - $100,000",C,,,,,,,,Python,,,x86
India,<2,Other,Rather not say,C,C++,,Java,JavaScript,,,PHP,Python,,SQL,Visual Basic
India,6/10/2014,Other,Rather not say,,,,,,,,,,,,
Sweden,2/5/2014,Other,Student / Unemployed,,,,Java,JavaScript,,,PHP,,,SQL,
United States,<2,Other,"$40,000 - $60,000",,,,,,,,,,,SQL,
Sweden,6/10/2014,Other,"$60,000 - $80,000",,,,Java,JavaScript,,,,Python,,,
India,<2,Other,Rather not say,,,C#,,,,,,,,,
United Kingdom,6/10/2014,Other,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,,Datapower
Hong Kong,2/5/2014,Other,"$100,000 - $120,000",,,,,,,,,,,SQL,Stata
United States,<2,Other,"$20,000 - $40,000",,,,,,,,,,Ruby,SQL,R
Netherlands,<2,Other,"$20,000 - $40,000",,,,,,,,,,,,R
South Africa,11,Other,"$40,000 - $60,000",,,,,,,,,Python,,SQL,R
United Kingdom,11,Other,Rather not say,,,,Java,JavaScript,,Objective-C,PHP,,,SQL,"ActionScript, JQuery"
Ireland,<2,Other,"$20,000 - $40,000",C,,,,,,,,Python,,,R
United States,11,Other,">$140,000",,,,,,,,,Python,,,
Italy,2/5/2014,Other,Rather not say,,,C#,Java,,,,PHP,,,,
United Kingdom,2/5/2014,Other,"$40,000 - $60,000",,,C#,,,,,,,,SQL,
United States,11,Other,,,,,,,,,,,,,
Spain,6/10/2014,Other,Rather not say,C,,,Java,,,,,,,,
United Kingdom,11,Other,"$80,000 - $100,000",,,,,JavaScript,,,,,Ruby,,
Austria,6/10/2014,Other,"$20,000 - $40,000",,C++,,,,,,,Python,,,Matlab
Spain,<2,Other,"$20,000 - $40,000",,,,,JavaScript,,,,Python,,,
United States,<2,Other,,,C++,,Java,,,,,Python,,,
Germany,6/10/2014,Other,"$40,000 - $60,000",,C++,,,,,,,,,,
Canada,6/10/2014,Other,"$20,000 - $40,000",C,C++,,,,,,,Python,,,
United States,11,Other,Rather not say,,,,,JavaScript,,,,Python,,SQL,
Germany,6/10/2014,Other,"$60,000 - $80,000",,,C#,,,,,,,,,Optics Raytracing with Breault's ASAP
Spain,6/10/2014,Other,"$80,000 - $100,000",,,,,,,,,Python,,,
United States,<2,Other,"$60,000 - $80,000",,,C#,,,,,,,,SQL,VBA
United States,2/5/2014,Other,"$40,000 - $60,000",C,C++,C#,,,,,,,,,
Poland,6/10/2014,Other,"$40,000 - $60,000",,,,,,,,,,,,groovy
United Kingdom,<2,Other,"$40,000 - $60,000",,,,Java,,,,,,,,
United States,11,Other,Rather not say,,,C#,,,,,,Python,,,"VB, SciLab, R"
United States,2/5/2014,Other,"$80,000 - $100,000",,,,,,,,,,,SQL,
United States,11,Other,"$120,000 - $140,000",,,,Java,JavaScript,,,,,,,
India,2/5/2014,Other,Rather not say,C,C++,,Java,,,,,,,,
Ukraine,2/5/2014,Other,Rather not say,,C++,,,JavaScript,,,PHP,,,SQL,
Iran,11,Other,Student / Unemployed,C,C++,,,,,,PHP,,,,
Canada,11,Other,"$60,000 - $80,000",C,,C#,Java,JavaScript,,Objective-C,PHP,Python,Ruby,SQL,
United States,11,Other,Rather not say,,,,Java,JavaScript,,,,Python,,,
United States,<2,Other,"$40,000 - $60,000",,,C#,,,,,,,,SQL,
United Kingdom,11,Other,Student / Unemployed,,,,,,,,,,,SQL,"VBA, Drupal"
United States,2/5/2014,Other,Rather not say,,,,,JavaScript,,,PHP,,,,
Australia,11,Other,"$60,000 - $80,000",,C++,,Java,JavaScript,,,,Python,,SQL,
Italy,11,Other,"$80,000 - $100,000",C,,,,,,,PHP,,,,
United Kingdom,6/10/2014,Other,"$40,000 - $60,000",C,,,,,,,,Python,,,Matlab
South Korea,6/10/2014,Other,"$40,000 - $60,000",,C++,C#,,,,,,,,,
United States,11,Other,Rather not say,,,,,,,Objective-C,,,,,
United States,6/10/2014,Other,"$100,000 - $120,000",,C++,,,,,,,Python,,,
United States,2/5/2014,Other,"<$20,000",,,C#,,JavaScript,,,,,,,
Australia,11,Other,Rather not say,,,,,JavaScript,,,,Python,,,
United Kingdom,11,Other,"$80,000 - $100,000",,,C#,,JavaScript,Node.js,,,,,,
Russia,11,Other,Rather not say,,,C#,Java,JavaScript,,,,,,SQL,
Australia,11,Other,,C,C++,,,,,Objective-C,,Python,,,Perl
United Kingdom,6/10/2014,Other,"$40,000 - $60,000",,,,,,,,,,,,"R, fortran, grads"
Czech Republic,2/5/2014,Other,,,,,,,,,PHP,,,SQL,
United States,11,Other,"$100,000 - $120,000",C,,,,,,,,,,,MATLAB
